,danceability,energy,speechiness,acousticness,liveness,valence,tempo
385,0.638,0.547,0.0354,0.0486,0.99,0.342,101.996
386,0.66,0.748,0.0284,0.0993,0.283,0.972,143.549
387,0.623,0.537,0.0726,0.332,0.0963,0.905,166.885
388,0.487,0.382,0.0309,0.0422,0.411,0.714,116.557
389,0.525,0.453,0.0376,0.792,0.14,0.833,104.288
390,0.419,0.331,0.0293,0.932,0.102,0.322,80.647
391,0.632,0.321,0.0313,0.737,0.571,0.659,96.397
392,0.613,0.665,0.0299,0.422,0.105,0.493,125.814
393,0.711,0.831,0.0274,0.187,0.0897,0.923,102.978
394,0.292,0.484,0.0523,0.238,0.105,0.589,173.831
395,0.372,0.346,0.0331,0.374,0.126,0.442,176.964
396,0.314,0.797,0.038,0.0057,0.0718,0.569,145.393
397,0.525,0.63,0.0297,0.485,0.0812,0.535,156.139
398,0.511,0.464,0.0383,0.256,0.132,0.289,123.412
399,0.487,0.338,0.0271,0.84,0.196,0.433,78.983
400,0.608,0.583,0.0235,0.188,0.129,0.714,82.227
401,0.406,0.847,0.0482,0.0249,0.375,0.379,92.245
402,0.426,0.687,0.0329,0.409,0.112,0.189,84.141
403,0.167,0.302,0.0345,0.316,0.11,0.19,102.026
404,0.329,0.942,0.0586,0.0296,0.183,0.71,205.692
405,0.339,0.208,0.0308,0.396,0.18,0.288,98.54
406,0.726,0.474,0.0491,0.803,0.258,0.57,116.027
408,0.539,0.583,0.0275,0.108,0.111,0.337,86.063
409,0.432,0.563,0.0309,0.0877,0.294,0.397,136.172
410,0.576,0.697,0.0477,0.0548,0.073,0.734,104.841
411,0.69,0.681,0.0379,0.0623,0.137,0.911,75.034
412,0.49,0.581,0.0388,0.553,0.0764,0.318,88.718
413,0.61,0.497,0.0279,0.32,0.0884,0.739,85.031
414,0.613,0.72,0.0425,0.0132,0.104,0.561,117.341
415,0.596,0.448,0.0396,0.365,0.206,0.796,83.293
416,0.512,0.255,0.0291,0.88,0.146,0.215,115.144
417,0.398,0.93,0.0615,0.000854,0.0874,0.725,190.818
418,0.523,0.769,0.0269,0.04,0.136,0.876,136.162
419,0.475,0.429,0.0367,0.311,0.376,0.34,108.034
420,0.741,0.29,0.0302,0.294,0.0924,0.443,93.699
421,0.495,0.326,0.0365,0.541,0.0996,0.371,136.243
422,0.673,0.406,0.0327,0.779,0.335,0.885,132.81
