,id_chord,id_spotify_track,id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,popularity,album_name,release_date,mood
634,327834,1fTDYdx5zYfWJSX0JlKO8o,3369,0.566,0.748,8,-6.549,1,0.0301,0.0643,5.16e-06,0.0925,0.614,96.586,258133,4,youll be in my heart,71.0,Disney Summer Songs,2021-05-28,6
635,70504,1FTlLpP6V05yJWmcIg0rlK,1529,0.725,0.654,2,-6.283,1,0.0609,0.778,2.7e-06,0.0769,0.659,97.255,132627,4,mama tried,60.0,Mama Tried,2001-01-01,6
636,1238281,1fttM21mFe5UbGE8l1aKN7,8309,0.409,0.222,7,-14.142,1,0.0498,0.727,0.0,0.931,0.485,142.423,303789,4,pagsuko,19.0,Jireh Lim (Live),2016-12-30,5
637,172964,1Fu3gq55GH3P6OF352rEIc,2760,0.388,0.176,9,-16.952,1,0.0299,0.912,0.000336,0.0977,0.342,97.628,155773,4,if,58.0,The Best of Bread,1973-06-01,5
638,424117,1FvDJ9KGxcqwv1utyPL3JZ,3834,0.611,0.846,11,-5.9,1,0.0436,0.00509,0.0,0.0784,0.751,103.912,162920,4,this charming man,74.0,The Smiths,1984-02-20,11
639,717911,1G391cbiT3v3Cywg8T7DM1,5261,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,4,scar tissue,77.0,Californication (Deluxe Edition),1999-06-08,6
640,560878,1G5S1rEr4L57ftizRHcYDP,3058,0.42,0.612,4,-5.359,1,0.048,0.0917,0.0,0.0914,0.135,159.685,248253,4,i can only imagine,65.0,Almost There,2001,3
641,682767,1G8jae4jD8mwkXdodqHsBM,5084,0.464,0.701,9,-5.943,1,0.0341,0.0691,0.00182,0.0766,0.407,73.97,270000,4,name,64.0,A Boy Named Goo,1995-03-10,6
642,280085,1gcESexgftSuLuML57Y69q,3324,0.787,0.472,2,-12.824,1,0.0832,0.221,0.000336,0.153,0.824,120.059,330643,4,all right now,73.0,Fire And Water,1970-06-26,9
643,1092197,1GcVa4jFySlun4jLSuMhiq,2680,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,272000,4,angie,71.0,Goats Head Soup (Remastered 2009),1973-08-31,6
644,1454373,1gcxmb3jJgMMsqQ9D1GUao,8727,0.641,0.301,6,-8.833,1,0.0268,0.83,0.0,0.107,0.281,128.112,246230,3,ikaw at ako,58.0,Ikaw At Ako,2012,2
645,752550,1GEBsLDvJGw7kviySRI6GX,5459,0.687,0.745,6,-4.432,1,0.0379,0.178,1.59e-05,0.111,0.435,129.966,232120,4,you belong with me,70.0,Fearless (Big Machine Radio Release Special),2008-11-11,6
646,29118,1GeNWyZtCHbcp3ZWp8GTOO,770,0.548,0.294,10,-17.112,1,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,256173,4,lady in red,74.0,Into The Light,1986-01-01,6
647,2423013,1gj9poFl2mLKkguqWo5Y1i,10655,0.466,0.67,8,-4.701,1,0.0297,0.155,0.0,0.145,0.395,126.142,296400,4,goodness of god,63.0,Victory (Live),2019-01-25,6
648,21372,1GjbTNFImFrjFsNdleDe78,689,0.664,0.613,0,-7.56,1,0.0273,0.00309,0.000128,0.175,0.193,96.6,184587,3,never tear us apart,71.0,Kick (Remastered 2011),1987,3
649,1056439,1gJOqXpRjz9GeEEwQpcujK,7209,0.297,0.182,1,-10.944,1,0.0298,0.846,0.00267,0.134,0.092,83.391,159640,3,you are so beautiful,65.0,I Can Stand A Little Rain,1974-01-01,1
650,158280,1GoE6xwwZ20NbxCKVA5nz2,2671,0.38,0.799,11,-4.128,1,0.0299,0.0818,0.0,0.108,0.407,179.848,238787,3,indescribable,47.0,How Great Is Our God: The Essential Collection,2011-01-01,7
651,1434014,1gp5GlIHJysAgiOGbhoRS1,1952,0.489,0.883,4,-4.986,0,0.0306,0.000736,3.01e-05,0.369,0.518,131.749,281853,4,rockin in the free world,62.0,100 Greatest Classic Rock Songs,2019-04-05,7
652,1760063,1GtmiINnAu5K2VEqyh1Xdc,9496,0.403,0.557,1,-6.018,1,0.0314,0.00858,0.0,0.72,0.203,73.998,467053,4,resurrecting,57.0,Here As In Heaven,2016-02-05,3
